"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Li, M.; Tekwa, K.","Li, Meilan (57931459000); Tekwa, Kizito (57222041417)","57931459000; 57222041417","Timing AI intervention in the writing process for low proficiency learners: relationship with motivation, self-efficacy, and performance","2025","European Journal of Psychology of Education","40","4","120","","","0","10.1007/s10212-025-01030-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021113634&doi=10.1007%2Fs10212-025-01030-9&partnerID=40&md5=ede669a2c6b30bb491556e0d07a9fca0","Despite AI’s contributions to academic writing, concerns about over-reliance and diminished critical thinking skills persist, particularly among learners with low English proficiency (LEP). This study addresses the gap by investigating the writing process stage where AI intervention can best enhance LEP students’ performance, motivation, and self-efficacy. Employing a mixed-methods approach and informed by the Process Writing and Scaffolding theories, the study assessed three groups of LEP learners, each experiencing AI intervention at different writing stages—Group 1 brainstormed ideas, Group 2 brainstormed ideas and structured them into paragraphs, and Group 3 brainstormed ideas, structured them into paragraphs, and wrote a draft before seeking AI support. Findings revealed that Group 3, which engaged with AI later in the writing process, exhibited the highest improvements in motivation, self-efficacy, and performance and greater editing behaviors and confidence. In contrast, reliance on AI as a replacement tool was evident in Group 1, which engaged AI early. These findings underscore educators’ need to foster LEP student agency, independence, and confidence in writing by structuring AI intervention within traditional writing frameworks. The findings have multiple implications for theory, practice, and policies that balance traditional writing instruction with AI technology to enhance writing outcomes. © Instituto Universitário de Ciências Psicológicas, Sociais e da Vida 2025.","AI intervention; Descriptive writing; Low English proficiency learners; Motivation and self-efficacy; Process writing theory; Scaffolding theory","","Article","Final","","Scopus","2-s2.0-105021113634"
"Brocki, L.","Brocki, Lauren (60176840500)","60176840500","Child Safety in Early Childhood Teacher Education: Gaps in Australia’s Accelerated Graduate Diploma Programs","2025","Australasian Journal of Early Childhood","50","4","","364","374","0","10.1177/18369391251376709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020695692&doi=10.1177%2F18369391251376709&partnerID=40&md5=d4baa61917c84e6d6e2e94b95e81e07b","Ensuring child safety is paramount in early childhood education yet concerns persist regarding the preparedness of educators from accelerated Graduate Diploma programs in Australia. This study critically examines eleven such programs through qualitative content analysis to assess how child safety is integrated into the curricula. Findings revealed significant inconsistencies, an often-implicit treatment of safeguarding, over-reliance of professional placements for practicum, and limited leadership, trauma-informed practice, and mandatory reporting. These gaps raise serious questions about whether graduates are adequately equipped to fulfil their legal and ethical responsibilities. This paper advocates for urgent reforms in pre-service teacher education, arguing that child safety must be embedded as a core professional competency. Recommendations include mandating explicit curriculum content, implementing dedicated leadership training, and strengthening regulatory oversight. Addressing these systemic inconsistencies is essential to ensure that all early childhood educators are fully prepared to provide safe, ethical, and high-quality education across diverse early learning settings. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution 4.0 License (https://creativecommons.org/licenses/by/4.0/) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).","child protection; child safety; ECEC (early childhood education and care) policy; safeguarding; systemic risk; teacher preparation","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020695692"
"Caroti, D.; Adam-Troian, J.; Theraud, M.; Bagneux, V.","Caroti, Denis (57196422938); Adam-Troian, Jaïs (57208109462); Theraud, Manon (60166865200); Bagneux, Virginie (55181728100)","57196422938; 57208109462; 60166865200; 55181728100","Critical thinking education to decrease conspiracy and paranormal beliefs among secondary school students: A phase I trial","2025","Contemporary Educational Psychology","83","","102413","","","0","10.1016/j.cedpsych.2025.102413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020648034&doi=10.1016%2Fj.cedpsych.2025.102413&partnerID=40&md5=730d6303ba64df067e1962da7f479f4f","Unfounded beliefs (UB), specifically paranormal and conspiracy beliefs, are not in accordance with knowledge and evidence of contemporary science and lead to public health risks (e.g., vaccine hesitancy) and societal hazards (e.g., anti-democratic attitudes). Effective educational interventions for K-12 contexts remain scarce. This phase I randomized-controlled trial evaluated a critical thinking (CT) intervention among secondary school students in France (8th and 9th graders, n = 135). The intervention, consisting of an 8-hour standardized CT education intervention, delivered in eight weekly 1-hour sessions, aimed to improve rational judgment by targeting cognitive processes linked to UB (e.g., overreliance on intuition, ontological confusions). Compared to a control group, children receiving the intervention showed reduced conspiracy beliefs post-intervention (d = 0.56) and at follow-up (d = 0.53). Paranormal beliefs showed a smaller immediate reduction (d = 0.49) but returned to baseline after one month. This is the first randomized trial demonstrating a feasible, standardized CT intervention reducing both paranormal and conspiracy beliefs in secondary school students. © 2025 Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Conspiracy beliefs; Critical thinking; Educational intervention; Paranormal beliefs; Secondary school","","Article","Final","","Scopus","2-s2.0-105020648034"
"Xu, X.; Cai, Y.","Xu, Fang (55202668600); Cai, Yutong (60167195300)","55202668600; 60167195300","Research of Ethical Adoption of College Students' Learning Applications of Generative Artificial Intelligence","2025","Journal of Computer Assisted Learning","41","6","e70146","","","1","10.1111/jcal.70146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020578420&doi=10.1111%2Fjcal.70146&partnerID=40&md5=db0d48cc8f0198e190b18961482290ff","Background: The application of generative artificial intelligence (GenAI) in education has been deepening. However, at the same time, behaviours that jeopardise academic health, such as learners' over-reliance on generative AI and massive plagiarism of generated content of generative AI in essay writing, have begun to emerge, and the issue of generative AI ethics should not be underestimated. It is necessary to develop an in-depth understanding of the issue of ethical adoption of generative AI for learners. Objectives: This article examines the determinants of ethical adoption of generative artificial intelligence (GenAI) learning applications among college students. It explores the mechanisms through which these factors operate and investigates the moderating effects of key variables. Based on these findings, the study proposes targeted recommendations to foster responsible GenAI integration in education, offering valuable insights for the wider adoption of GenAI technologies in educational contexts. Methods: This study constructs an ethical adoption model for college students' use of GenAI learning applications, integrating the technology acceptance model and the unified theory of acceptance and use of technology. Following the theoretical model development, empirical research was conducted—encompassing questionnaire surveys, quantitative data analysis and results interpretation—to validate the proposed framework. Results: The results demonstrate that college students' intention to adopt ethical practices regarding generative AI, facilitating conditions and the management system exhibit a positive correlation with actual compliance with ethical norms. Among these factors, ethical intention exerts the strongest effect. Furthermore, students' performance expectation concerning the ethical adoption of generative AI is positively correlated with their ethical adoption intention. Gender, grade level, voluntariness of use and prior experience significantly moderate these influence pathways. Conclusions: This study identifies key factors influencing college students' adoption of generative artificial intelligence (GenAI) in learning applications. The findings offer theoretical and practical insights to inform the responsible integration of GenAI technologies in educational settings. © 2025 John Wiley & Sons Ltd.","adoption; ethics; generative AI; influence factors","","Article","Final","","Scopus","2-s2.0-105020578420"
"Jalambo, M.; Osman Abdul Wahab, M.; Ismail, S.M.; Belton, B.","Jalambo, Mahmoud O. (57210934213); Osman Abdul Wahab, Mohammad (60163841200); Ismail, Sayed M. (57226120225); Belton, Barana (58421163400)","57210934213; 60163841200; 57226120225; 58421163400","“Assess, adapt, achieve”: investigating the role of mobile-mediated dynamic assessment in cultivating L2 learners’ writing resilience, strategic revision, and linguistic accuracy","2025","Language Testing in Asia","15","1","64","","","0","10.1186/s40468-025-00407-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020274446&doi=10.1186%2Fs40468-025-00407-3&partnerID=40&md5=3e86d496286bbac05a1a4541e8a4b160","This study investigated the extent to which Mobile-Mediated Dynamic Assessment (MMDA) fosters writing resilience, strategic revision, and linguistic accuracy among Turkish EFL learners. A quasi-experimental design was implemented, encompassing a pre-test, an 11-week intervention period, and a post-test evaluation. A cohort of 117 intermediate-level female EFL learners were randomly assigned to either an experimental group, which received instruction supported by MMDA, or a control group, which engaged with conventional teacher-provided feedback. Eight EFL teachers, each possessing at least five years of instructional experience, contributed by offering guidance and sharing perspectives on MMDA’s implementation. A mixed-methods approach was adopted, integrating quantitative measures, such as assessments of writing resilience, strategic revision, and linguistic accuracy, with qualitative insights derived from open-ended student questionnaires and semi-structured teacher interviews. Post-intervention results revealed that learners in the experimental group demonstrated significantly greater improvements in writing resilience, strategic revision, and linguistic accuracy compared to their counterparts in the control group. These learners exhibited heightened motivation, more effective engagement with feedback, and marked advancements in writing proficiency, particularly in grammar, vocabulary, and textual coherence. Qualitative findings from teacher interviews suggest that MMDA’s provision of timely, personalized feedback fostered learners’ self-regulation and sustained engagement, although challenges such as technical difficulties and initial student resistance to AI-generated feedback were noted, alongside the necessity for teacher intervention to address complex writing errors. These results point to MMDA’s capacity to cultivate adaptive, learner-centered environments that promote writing resilience, strategic revision, and linguistic accuracy. © The Author(s) 2025.","L2 learners’ writing resilience; Linguistic accuracy; Mobile-mediated dynamic assessment; Strategic revision","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105020274446"
"Avci, H.; Lunn, S.J.; Hazari, Z.","Avci, Hülya (57197866560); Lunn, Stephanie Jill (57195679971); Hazari, Zahra (22957501100)","57197866560; 57195679971; 22957501100","Exploring STEM educators’ perspectives on the integration of AI-enabled technologies in teaching and learning","2025","Computers and Education Open","9","","100304","","","1","10.1016/j.caeo.2025.100304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020067193&doi=10.1016%2Fj.caeo.2025.100304&partnerID=40&md5=b48bbff64424ec6702fe7e6f85462512","The innovation and proliferation of artificial intelligence (AI) technologies are transforming Science, Technology, Engineering, and Mathematics (STEM) disciplines and pedagogical practices, making it essential to prepare educators for this evolving landscape. This qualitative study explores STEM educators’ perceptions of how they developed proficiency with AI-enabled technologies, what motivated their adoption, and the challenges they faced in classroom integration. Using a cross-sectional survey design, we collected open-ended responses from 27 in-service secondary STEM educators in the United States and analyzed the data through the reflexive thematic analysis. Our findings revealed that STEM educators recognized AI as a cognitive scaffold that can support student understanding of complex content and a socio-affective tool that can help enhance teacher–student relationships. The participants highlighted that by streamlining routine tasks, AI allowed them to reclaim time for meaningful student interactions and responsive instruction. The participants also reported developing their AI proficiency through self-directed learning, peer support, and professional networks, driven by motivations to enhance instructional efficiency, support personalized learning, and prepare students for AI-driven futures. However, the participants emphasized several significant challenges, including lack of institutional support, the overwhelming abundance of AI tools, concerns about affordability, and students’ growing overreliance on AI systems. These insights highlight the need for structured, discipline-specific professional development for in-service educators to promote effective and human-centered integration of AI in STEM education. This study contributes to a growing body of research by centering STEM educators’ perspectives and offering novel insights into how to support their effective integration of AI technologies into STEM teaching and learning. © 2025","Artificial intelligence integration; Pedagogy; Professional development; Secondary school teachers; STEM education","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105020067193"
"Zhao, T.; Lin, X.; Na, R.","Zhao, Tianjiao (58958485300); Lin, Xi (57211635554); Na, Ri (56205311000)","58958485300; 57211635554; 56205311000","Integrating AI in Construction Estimation Education: A Comparative Study of Togal AI and Bluebeam Revu 20","2025","European Journal of Education","60","4","e70287","","","1","10.1111/ejed.70287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019185544&doi=10.1111%2Fejed.70287&partnerID=40&md5=921b3179b24b47413f619939fafae3f4","The integration of artificial intelligence (AI) into construction education is transforming how future professionals approach estimation tasks. This study examines the role of Togal AI—an AI-powered estimation tool—alongside the industry-preferred Bluebeam Revu 20 in undergraduate construction education. Through a structured experiment with 60 students, we tracked flooring area estimations for a school building, collecting both quantitative performance metrics and qualitative survey responses. Key findings show Togal AI accelerated task completion by 51.3%, improved measurement accuracy by 20.4%, enhanced team coordination by 28.4% and sped up change order processing by 75.7%, while boosting confidence by 55.2%. However, semi-structured interviews revealed concerns that over-reliance on automation might hinder critical thinking. This highlights the importance of curricular frameworks positioning AI as an educational support tool rather than a replacement for essential competencies. This study offers practical strategies for integrating AI tools into estimation education. While Togal AI automates measurement, freeing cognitive capacity for large, complex projects, its technical limitations, oversimplified markups and risk of over-reliance on AI underscore the need for curricula that balance AI efficiency with manual estimation skills. These findings inform the modernization of academic curricula, ensuring AI enhances rather than replaces essential competencies in construction education. © 2025 The Author(s). European Journal of Education published by John Wiley & Sons Ltd.","AI in education; automation in construction management; construction estimating; critical thinking in AI-assisted learning; pedagogical innovation; Togal AI","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105019185544"
"Rath, A.","Rath, Avita Shanti (57190668433)","57190668433","Leveraging ChatGPT to support terminology learning in oral anatomy: a mixed-methods study among linguistically diverse dental students","2025","BMC Medical Education","25","1","1425","","","0","10.1186/s12909-025-07968-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018843638&doi=10.1186%2Fs12909-025-07968-0&partnerID=40&md5=71e3ea3447551c3db4d3a5353cbb4533","Background: English-medium instruction (EMI) in health professional education presents linguistic barriers for non-native English-speaking students, particularly in terminology-dense subjects like dental anatomy. While artificial intelligence (AI) has shown promise in educational contexts, its application to support terminology learning among multilingual learners remains underexplored. This study evaluated the impact of ChatGPT-assisted learning on terminology comprehension and student engagement among international dental students in Malaysia. Methods: A convergent mixed-methods pilot study was conducted with 35 Chinese international Year 1 and Year 2 dental students enrolled in an oral anatomy course at SEGi University. Students completed pre- and post-intervention comprehension tests and engagement surveys. Over an eight-week period, students used ChatGPT to clarify terminology and explore anatomical content. ChatGPT usage logs were analyzed, and post-intervention focus group discussions were conducted. Quantitative data were analyzed using paired t-tests and Wilcoxon Signed-Rank Tests; qualitative data underwent thematic analysis. Results: Comprehension scores improved significantly post-intervention (mean increase = 5.7 points, p< 0.001; Cohen’s d = 1.91). Engagement scores also increased significantly (p < 0.001), reflecting enhanced autonomy and motivation. ChatGPT was used primarily for term clarification (45%), function explanation (32%), and structural comparisons (23%). Thematic analysis revealed four key themes: (1) Clarity and Confidence, (2) Self-Directed Learning, (3) Concerns About Accuracy and Overreliance, and (4) Ethical and Privacy Awareness. Conclusions: AI-assisted terminology learning significantly improved comprehension and engagement among linguistically diverse dental students, aligning with principles from Cognitive Load Theory (CLT) and Self-Determination Theory (SDT). However, ethical concerns—particularly around data privacy and unchecked reliance—highlight the importance of faculty guidance and institutional oversight. These findings underscore the value of hybrid AI-human approaches that are pedagogically sound, ethically responsible, and culturally adaptive. © The Author(s) 2025.","Artificial intelligence; ChatGPT; Dental education; English-medium instruction; Ethics in AI; Multilingual learners; Self-directed learning; Student engagement; Terminology comprehension","anatomy; article; artificial intelligence; ChatGPT; controlled study; dental education; dental student; human; learning; major clinical study; nomenclature; self-directed learning; student engagement","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105018843638"
"Hong, W.C.H.","Hong, Wilson Cheong Hin (57201470916)","57201470916","Revisiting the impact of errors in L2/FL writing: A methodological review of five decades of research","2025","Research Methods in Applied Linguistics","4","3","100269","","","1","10.1016/j.rmal.2025.100269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018230620&doi=10.1016%2Fj.rmal.2025.100269&partnerID=40&md5=8096a0a648b60c0403d323607b4f826a","Despite five decades of research into error gravity (EG) in writing, the field remains characterized by contradictory findings and limited practical applications. This methodology review critically examines the methods and their impact on findings across this fragmented research landscape. Through a two-phase approach—a selective review of studies from 1970–2015 (n = 21) and a PRISMA review of 2016–2025 research (n = 16)—four key constructs that have shaped the field are identified: reader perceptions, comprehension, awareness/sensitivity, and processing effort. Analyses reveal significant methodological limitations that have hindered progress, including over-reliance on subjective assessments, inconsistent error categorization, limited participant representativeness, and lack of theoretical grounding. The research trajectory shows a shifting focus from comprehension in early studies to reader preferences in the 2000s, followed by renewed interest in communication effectiveness and the emergence of processing effort as a novel yet critical construct, despite the persistent dominance of subjective ratings. Recommendations for future research are proposed, including the potential theories to frame studies, adoption of direct and validated methods and shifting focus to non-teacher participant populations. Only with genuine methodological advancements can this strand of study meaningfully inform L2/FL pedagogy and curriculum, providing evidence-based guidance for prioritizing certain L2 issues in instructions. © 2025","Comprehensibility; Error gravity; L2 writing; Processing effort; Systematic review","","Review","Final","","Scopus","2-s2.0-105018230620"
"Lim, T.; Gottipati, S.; Cheong, M.","Lim, Tristan (57219120508); Gottipati, Swapna (51664951900); Cheong, Michelle L.F. (25723047400)","57219120508; 51664951900; 25723047400","What students really think: unpacking AI ethics in educational assessments through a triadic framework","2025","International Journal of Educational Technology in Higher Education","22","1","56","","","0","10.1186/s41239-025-00556-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018211534&doi=10.1186%2Fs41239-025-00556-8&partnerID=40&md5=13d884791f173081247558ba0130718a","The rise of AI in educational assessments has significantly enhanced efficiency and accuracy. However, it also introduces critical ethical challenges, including bias in grading, data privacy risks, and accountability gaps. These issues can undermine trust in AI-driven assessments and compromise educational fairness, making a structured ethical framework essential. To address these challenges, this study empirically validates an existing triadic ethical framework for AI-assisted educational assessments, originally proposed by Lim, Gottipati and Cheong (In: Keengwe (ed) Creative AI tools and ethical implications in teaching and learning, IGI Global, 2023), grounded in student perceptions. The framework encompasses three ethical domains—physical, cognitive, and informational—which intersect with five key assessment pipeline stages: system design, data stewardship, assessment construction, administration, and grading. By structuring AI-driven assessments within this ethical framework, the study systematically maps key concerns, including fairness, accountability, privacy, and academic integrity. To validate the proposed framework, Structural Equation Modeling (SEM) was employed to examine its relevance and alignment with learners' ethical concerns. Specifically, the study aims to (1) evaluate how well the triadic framework aligns with learners' perceptions of ethical issues using SEM analysis, and (2) examine relationships among the assessment pipeline stages, ethical considerations, pedagogical outcomes, and learner experiences. Findings reveal robust connections between AI-assisted assessment stages, ethical concerns, and learners' perspectives. By bridging theoretical validation with practical insights, this study emphasizes actionable strategies to support the development of AI-driven assessment systems that balance technological efficiency, pedagogical effectiveness, and ethical responsibility. © The Author(s) 2025.","AI ethics; Educational assessments; Ethical framework; Learner perceptions; Structural equation modelling","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105018211534"
"He, Y.; Yin, X.; Shi, X.; Wang, Q.; Zhang, X.","He, Yuxi (60125476400); Yin, Xiaoxue (57161708300); Shi, Xu (57361956600); Wang, Qian (58845747300); Zhang, Xingming (56606531300)","60125476400; 57161708300; 57361956600; 58845747300; 56606531300","AI-assisted diagnosis of renal cell carcinoma: educational needs and cognitive assessment based on the WHO classification 2022","2025","BMC Medical Education","25","1","1343","","","0","10.1186/s12909-025-07965-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017680378&doi=10.1186%2Fs12909-025-07965-3&partnerID=40&md5=c99e95a0b82088175277cc7342aa5e9f","This study explored medical students’ perceptions, educational needs, and cognitive biases toward Artificial Intelligence-assisted (AI-assisted) renal cell carcinoma (RCC) diagnosis, using the World Health Organization (WHO) 2022 classification. A cross-sectional survey of 249 students examined their familiarity with AI tools, trust in AI-based pathology, and understanding of diagnostic criteria. While most students acknowledged AI’s potential to boost diagnostic accuracy, especially for subtyping, over half voiced significant concerns about risks such as over-reliance and automation bias. A key finding was the knowledge gap around the WHO 2022 standards; urology students had a 66.7% self-reported awareness compared to just 7.7% among other majors’ students. Nearly 70% of the participants called for mandatory AI training in curricula, with a focus on the rigorous clinical validation of AI tools, supported by over 70% of the pathology students. These results highlight the need to integrate AI innovations with stronger validation protocols and curricular updates to address challenges such as technical limitations, data standardization, and ethical issues. Future studies should align AI development with educational reforms and ethical frameworks to advance precise RCC diagnosis. © The Author(s) 2025.","Artificial intelligence; Cross-sectional study; Medical education; Pathology diagnosis; Renal cell carcinoma","adult; artificial intelligence; classification; cross-sectional study; curriculum; diagnosis; female; human; kidney tumor; male; medical education; medical student; needs assessment; psychology; questionnaire; renal cell carcinoma; World Health Organization; Adult; Artificial Intelligence; Carcinoma, Renal Cell; Cross-Sectional Studies; Curriculum; Education, Medical, Undergraduate; Female; Humans; Kidney Neoplasms; Male; Needs Assessment; Students, Medical; Surveys and Questionnaires","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017680378"
"Kılıçkaya, F.; Kic-Drgas, J.","Kılıçkaya, Ferit (36020514900); Kic-Drgas, Joanna (57209138945)","36020514900; 57209138945","Pre-service language teachers’ experiences and perceptions of integrating generative AI in practicum-based lesson study","2025","Humanities and Social Sciences Communications","12","1","1478","","","0","10.1057/s41599-025-05715-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017180819&doi=10.1057%2Fs41599-025-05715-w&partnerID=40&md5=f91630a277330738be4bc107baa799b0","The purpose of the study is to investigate how Generative Artificial Intelligence (GenAI) tools can be integrated into language lesson planning within the Lesson Study (LS) framework in a language teacher education program and to determine the challenges and benefits faced by the participants while they integrate these tools into their lesson planning practices. The study used a qualitative case study research design to explore the use of GenAI tools and the challenges and benefits faced by pre-service language teachers. This method allows an in-depth exploration of the interactions between practicum students, GenAI tools, and classroom practices. The case study approach captures the nuances of individual experiences and provides rich, contextualized data, which is essential for understanding how GenAI technologies shape teaching and learning processes. The findings showed that the participants used a variety of tools for creating exercises and lesson plans within the LS framework. The participants highly valued GenAI tools, as these tools helped them create efficient lesson plans and exercises, especially when there were functions and topics that coursebooks failed to cover. The quality of these lesson plans was evaluated during the stages of the LS framework and after the implementation in the real classes. The findings also showed that the participants faced several issues, such as over-reliance, bias, and the quality of outputs. © The Author(s) 2025.","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017180819"
"Cho, S.; Hur, J.-Y.; Kim, D.","Cho, Seongkyung (57213154287); Hur, Joon-young (55511832200); Kim, Danee (59647446500)","57213154287; 55511832200; 59647446500","Bridging trust in AI and its adoption: The role of organizational support in AI chatbot implementation in korean government agencies","2025","Government Information Quarterly","42","4","102081","","","0","10.1016/j.giq.2025.102081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016889259&doi=10.1016%2Fj.giq.2025.102081&partnerID=40&md5=c9ac0f5c87fcdcdfc0a215313ac50b8d","Amid rapid technological advancements, AI-chatbot integration into government workplaces represents a transformative shift to enhance communication, streamline administrative processes, and boost employee efficiency. Through a mixed-methods design combining survey data and employee interviews, this study analyzes how trust in AI chatbots influences employee utilization of chatbots in government organizations and examines organizational support's moderating role. By demonstrating the pivotal roles of trust and organizational support, this study emphasizes their combined effect on driving adoption and digital transformation within government agencies. Findings provide insights for government administrators and policymakers, guiding the development of trust-building strategies and organizational support mechanisms to promote effective chatbot adoption in public-sector workplaces. This research fills the empirical gap in understanding chatbot adoption from the perspective of government employees and illuminates opportunities and challenges as public-sector employees adapt to technological changes in their work environments. © 2024","AI-chatbot adoption; Organizational support; Public sector; Trust","","Article","Final","","Scopus","2-s2.0-105016889259"
"Guo, H.; Erdenebold, T.","Guo, Hongbo (60384971800); Erdenebold, Tumennast (57195394791)","60384971800; 57195394791","Factors influencing intention to adopt an AI chatbot for learning in higher education: An integrated PLS-SEM, IPMA, and ANN approach","2025","Computers and Education: Artificial Intelligence","9","","100477","","","1","10.1016/j.caeai.2025.100477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015887622&doi=10.1016%2Fj.caeai.2025.100477&partnerID=40&md5=488e8be7f1be373e9d72c3f8746c5d7f","With the increasing integration of AI chatbots into education, understanding the factors that influence students' adoption intentions offers an empirical basis for further research in educational technology. However, empirical studies integrating multiple analytical approaches remain limited, particularly in China context. This study investigated Chinese university students' intention to adopt AI chatbots for learning by examining six individual-level predictors: performance expectancy (PE), effort expectancy (EE), social influence (SI), perceived trust (PT), personal innovativeness (PI), and perceived enjoyment (PEN). Survey data from 635 Chinese university students were analyzed using an integrated methodological approach combining Partial Least Squares Structural Equation Modeling (PLS-SEM), Importance-Performance Map Analysis (IPMA), and Artificial Neural Network (ANN) methodologies. Results consistently identified PEN as the most influential factor, followed by PT, while PI and PE were significant but exhibited weaker predictive power. EE and SI showed no significant influence. IPMA further revealed that students' trust in AI security remains relatively low, indicating substantial room for improvement. The methodological triangulation demonstrated the complementary strengths of different analytical techniques, with PLS-SEM providing structural relationships, IPMA revealing performance gaps, and ANN capturing non-linear relationships while validating importance rankings. The study contributes to educational technology literature by demonstrating how PLS-SEM, IPMA, and ANN can be effectively integrated to provide comprehensive insights into behavioral intention models, extending the UTAUT framework with underexamined variables in the context of AI chatbot adoption. Future research could explore the integration of additional analytical techniques within this methodological framework and investigate contextual factors that shape technology adoption patterns. © 2025 The Authors","AI chatbots; Education; SEM-ANN; Technology adoption; UTAUT","Education computing; Educational technology; Engineering education; Students; AI chatbot; Chatbots; Map analysis; Neural-networks; Partial least-squares; Performance maps; SEM-artificial neural network; Structural equation models; Technology adoption; UTAUT; Least squares approximations","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105015887622"
"Nathaniel, J.; Oyelere, S.S.; Suhonen, J.; Tedre, M.","Nathaniel, Jemimah (60053715900); Oyelere, Solomon Sunday (57188672243); Suhonen, Jarkko (7006843907); Tedre, Matti (6504255945)","60053715900; 57188672243; 7006843907; 6504255945","Investigating the impact of generative AI integration on the sustenance of higher-order thinking skills and understanding of programming logic","2025","Computers and Education: Artificial Intelligence","9","","100460","","","0","10.1016/j.caeai.2025.100460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013677571&doi=10.1016%2Fj.caeai.2025.100460&partnerID=40&md5=c01ee95bf19b98f49e79e3a25f883ccb","This study investigates how integrating generative AI (GenAI) with instructional scaffolding and prompt engineering supports higher-order thinking skills (HOTS) and programming logic. A mixed-methods design was used, combining quantitative and qualitative data. The intervention followed a one-group pretest-post-test structure over seven weeks with 25 computer science students with no prior C++ experience. The GenAI-Ped framework guided the design. It combines Bloom's taxonomy, Seelf-Regulated Learning, Universal Design for Learning, and Vygotsky's Zone of Proximal Development. Students received scaffolded support across six instructional phases, including prompt training and guided GenAI use. Quantitative results showed significant gains in problem-solving (applying constructs: t = 2.38, p = 0.013, d = 0.475), critical thinking (conditional reasoning: t = 2.53, p = 0.018, d = 0.506), creativity (applying new ideas: t = 2.28, p = 0.032, d = 0.456), and programming logic (loops: t = 2.78, p = 0.010, d = 0.555). However, smaller gains were observed in code optimization (t = 1.693, p = 0.103, d = 0.339) and evaluating solutions (t = 1.732, p = 0.096). Qualitative data, including feedback and GenAI chat logs, showed that prompt specificity and scaffolded feedback improved engagement, HOTS, and programming logic. The novelty of the study lies in its demonstration that the integration of GenAI into programming education using GenAI-Ped framework can sustain HOTS and programming logic while mitigating overreliance. These findings offer a practical model for integrating GenAI into programming education. © 2025 The Authors","Creativity; Critical thinking; Generative AI; Higher-order thinking skills; Problem-solving; Programming education; Programming logic","Computer circuits; Design; Education computing; Engineering education; Feedback; Integration; Logic programming; Personnel training; Scaffolds; Students; Creativity; Critical thinking; Engineering support; Generative AI; Higher order thinking skills; Mixed method; Problem-solving; Programming education; Programming logic; Qualitative data; Problem solving","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105013677571"
